x_axis,y_axis,z_axis
1586,-871,-27.36
1585,-610,-25.487
1571,-722,-26.193
1552,-768,-25.975
1515,-723,-26.129
1637,-658,-25.928
1630,-697,-25.731
1626,-559,-25.711
1622,-442,-23.991
1509,-499,-24.787
1558,-412,-23.828
1600,-559,-25.619
1537,-505,-24.27
1631,-333,-24.384
1537,-284,-24.295
1625,-354,-24.429
1546,-300,-24.612
1593,-292,-25.701
1559,-285,-24.864
1572,-68,-25.626
1588,-72,-26.301
1637,-27,-26.736
1600,-41,-26.255
1534,-23,-26.615
1583,-119,-25.192
1579,29,-26.487
1618,198,-25.982
1601,134,-25.895
1622,150,-25.362
1574,67,-27.286
1596,176,-26.202
1534,332,-25.72
1615,290,-26.766
1532,395,-24.72
1622,256,-26.655
1604,276,-26.706
1526,374,-25.32
1569,428,-25.401
1617,480,-24.886
1596,423,-25.252
1535,579,-28.068
1618,562,-27.612
1592,473,-25.178
1561,709,-27.302
1591,795,-26.376
1628,689,-26.739
1640,627,-27.555
1650,783,-25.569
1518,787,-27.409
1538,950,-28.003
1537,909,-28.167
1564,994,-27.551
1647,864,-25.976
1571,848,-27.098
1645,847,-25.881
1799,-827,-56.809
1784,-847,-50.554
1771,-959,-44.329
1730,-928,-27.846
1715,-876,-26.109
1774,-904,-45.141
1790,-645,-50.524
1787,-691,-49.307
1759,-658,-35.619
1794,-603,-52.714
1736,-675,-28.139
1729,-705,-27.351
1743,-584,-29.722
1737,-437,-27.296
1777,-561,-44.266
1666,-585,-24.955
1697,-591,-25.047
1783,-495,-46.977
1694,-314,-24.242
1697,-222,-25.481
1766,-283,-39.309
1743,-281,-29.839
1722,-352,-25.586
1762,-210,-36.493
1741,-104,-30.663
1707,-170,-25.503
1701,-116,-26.76
1791,-74,-54.04
1777,-32,-46.408
1700,-2,-27.314
1766,26,-39.88
1752,114,-33.953
1696,130,-25.379
1772,192,-42.82
1770,117,-42.7
1675,160,-25.297
1663,396,-25.716
1767,271,-40.182
1779,396,-45.753
1779,370,-46.044
1747,376,-30.363
1697,391,-25.481
1722,493,-25.663
1763,463,-36.529
1683,477,-24.84
1736,422,-26.846
1704,418,-24.872
1755,449,-32.489
1676,654,-27.012
1666,625,-26.826
1700,793,-24.236
1671,698,-26.125
1687,730,-26.001
1673,748,-25.555
1750,937,-34.658
1769,861,-41.284
1676,983,-29.477
1771,938,-44.188
1768,889,-41.623
1720,892,-27.255
1861,-960,-60.944
1847,-936,-60.64
1908,-819,-54.516
1939,-812,-45.342
1921,-888,-52.694
1926,-824,-50.064
1851,-633,-57.149
